id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;NORTE;2023-01-01;5703.00887500
NE;NORDESTE;2023-01-01;9640.00870833
S;SUL;2023-01-01;9696.38512500
SE;SUDESTE;2023-01-01;31302.09112500
N;NORTE;2023-01-02;6140.91787500
NE;NORDESTE;2023-01-02;10986.79733333
S;SUL;2023-01-02;12220.86808333
SE;SUDESTE;2023-01-02;37530.28962500
N;NORTE;2023-01-03;6294.46220833
NE;NORDESTE;2023-01-03;11315.43258333
S;SUL;2023-01-03;12591.03525000
SE;SUDESTE;2023-01-03;39957.70075000
N;NORTE;2023-01-04;6406.14145833
NE;NORDESTE;2023-01-04;11290.53145833
S;SUL;2023-01-04;11829.49487500
SE;SUDESTE;2023-01-04;40658.58520833
N;NORTE;2023-01-05;6515.50187500
NE;NORDESTE;2023-01-05;11607.45175000
S;SUL;2023-01-05;11742.44445833
SE;SUDESTE;2023-01-05;39084.20837500
N;NORTE;2023-01-06;6366.76112500
NE;NORDESTE;2023-01-06;11771.77733333
S;SUL;2023-01-06;11700.86870833
SE;SUDESTE;2023-01-06;37988.08070833
N;NORTE;2023-01-07;6284.87612500
NE;NORDESTE;2023-01-07;11183.18604167
S;SUL;2023-01-07;10580.08470833
SE;SUDESTE;2023-01-07;34663.75520833
N;NORTE;2023-01-08;6100.08675000
NE;NORDESTE;2023-01-08;10409.19754167
S;SUL;2023-01-08;9652.34708333
SE;SUDESTE;2023-01-08;32691.03095833
N;NORTE;2023-01-09;6493.51983333
NE;NORDESTE;2023-01-09;11629.89004167
S;SUL;2023-01-09;12663.43462500
SE;SUDESTE;2023-01-09;37800.09537500
N;NORTE;2023-01-10;6436.35762500
NE;NORDESTE;2023-01-10;11798.99470833
S;SUL;2023-01-10;13349.35475000
SE;SUDESTE;2023-01-10;39469.37637500
N;NORTE;2023-01-11;6541.67570833
NE;NORDESTE;2023-01-11;11948.91233333
S;SUL;2023-01-11;13621.69404167
SE;SUDESTE;2023-01-11;40728.93400000
N;NORTE;2023-01-12;6704.57766667
NE;NORDESTE;2023-01-12;11945.96929167
S;SUL;2023-01-12;14406.39029167
SE;SUDESTE;2023-01-12;41578.59470833
N;NORTE;2023-01-13;6578.37104167
NE;NORDESTE;2023-01-13;11984.56108333
S;SUL;2023-01-13;14303.83150000
SE;SUDESTE;2023-01-13;42238.77266667
N;NORTE;2023-01-14;6264.44216667
NE;NORDESTE;2023-01-14;11511.64187500
S;SUL;2023-01-14;11846.79991667
SE;SUDESTE;2023-01-14;39139.79191667
N;NORTE;2023-01-15;5894.85687500
NE;NORDESTE;2023-01-15;10732.89266667
S;SUL;2023-01-15;10362.41345833
SE;SUDESTE;2023-01-15;36651.31295833
N;NORTE;2023-01-16;6328.61533333
NE;NORDESTE;2023-01-16;11912.84695833
S;SUL;2023-01-16;13664.94700000
SE;SUDESTE;2023-01-16;43226.66245833
N;NORTE;2023-01-17;6372.83275000
NE;NORDESTE;2023-01-17;11821.51620833
S;SUL;2023-01-17;14473.70975000
SE;SUDESTE;2023-01-17;44008.11508333
N;NORTE;2023-01-18;6316.56158333
NE;NORDESTE;2023-01-18;11863.25850000
S;SUL;2023-01-18;14189.38041667
SE;SUDESTE;2023-01-18;43719.81895833
N;NORTE;2023-01-19;6268.08716667
NE;NORDESTE;2023-01-19;11860.31133333
S;SUL;2023-01-19;14143.73291667
SE;SUDESTE;2023-01-19;43385.03754167
N;NORTE;2023-01-20;6321.49000000
NE;NORDESTE;2023-01-20;11807.07779167
S;SUL;2023-01-20;14028.64141667
SE;SUDESTE;2023-01-20;42242.60216667
N;NORTE;2023-01-21;6150.43608333
NE;NORDESTE;2023-01-21;11328.05645833
S;SUL;2023-01-21;12234.49166667
SE;SUDESTE;2023-01-21;38642.08970833
N;NORTE;2023-01-22;5899.86970833
NE;NORDESTE;2023-01-22;10676.07537500
S;SUL;2023-01-22;10804.43558333
SE;SUDESTE;2023-01-22;35609.44412500
N;NORTE;2023-01-23;6465.80275000
NE;NORDESTE;2023-01-23;12103.76512500
S;SUL;2023-01-23;14130.07729167
SE;SUDESTE;2023-01-23;42420.67983333
N;NORTE;2023-01-24;6419.88683333
NE;NORDESTE;2023-01-24;12122.47041667
S;SUL;2023-01-24;14455.81891667
SE;SUDESTE;2023-01-24;42985.03504167
N;NORTE;2023-01-25;6391.81337500
NE;NORDESTE;2023-01-25;11851.39158333
S;SUL;2023-01-25;15340.26525000
SE;SUDESTE;2023-01-25;42893.64062500
N;NORTE;2023-01-26;6409.93866667
NE;NORDESTE;2023-01-26;11953.82795833
S;SUL;2023-01-26;15270.49704167
SE;SUDESTE;2023-01-26;43089.11908333
N;NORTE;2023-01-27;6448.71900000
NE;NORDESTE;2023-01-27;12107.07870833
S;SUL;2023-01-27;14880.36908333
